prec_no,pref_name,total_hot_days,mean_hot_days_per_station_year,max_station_year,station_year_obs
52,岐阜県,3006.0,13.069565217391304,59.0,230
63,兵庫県,2231.0,11.155,56.0,200
82,福岡県,2168.0,15.485714285714286,62.0,140
86,熊本県,2150.0,11.813186813186814,53.0,182
43,埼玉県,1835.0,22.9375,53.0,80
66,岡山県,1816.0,11.35,56.0,160
67,広島県,1770.0,9.31578947368421,57.0,190
42,群馬県,1630.0,12.538461538461538,58.0,130
61,京都府,1571.0,19.6375,61.0,80
51,愛知県,1553.0,12.941666666666666,57.0,120
54,新潟県,1462.0,5.129824561403509,37.0,285
40,茨城県,1455.0,9.965753424657533,51.0,146
62,大阪府,1431.0,15.9,51.0,90
83,大分県,1357.0,9.046666666666667,62.0,150
53,三重県,1268.0,10.566666666666666,48.0,120
48,長野県,1257.0,4.176079734219269,42.0,301
81,山口県,1243.0,7.76875,50.0,160
36,福島県,1220.0,3.91025641025641,34.0,312
49,山梨県,1191.0,10.827272727272728,59.0,110
68,島根県,1188.0,6.252631578947368,47.0,190
73,愛媛県,1128.0,7.52,36.0,150
72,香川県,1092.0,15.6,54.0,70
88,鹿児島県,1030.0,3.121212121212121,40.0,330
57,福井県,1030.0,10.3,43.0,100
41,栃木県,1023.0,7.25531914893617,49.0,141
87,宮崎県,1003.0,5.8654970760233915,42.0,171
44,東京都,979.0,5.438888888888889,48.0,180
45,千葉県,978.0,6.52,40.0,150
69,鳥取県,927.0,9.27,39.0,100
50,静岡県,898.0,4.628865979381444,41.0,194
60,滋賀県,898.0,9.977777777777778,47.0,90
74,高知県,869.0,5.43125,50.0,160
85,佐賀県,861.0,14.35,47.0,60
35,山形県,858.0,3.9,28.0,220
84,長崎県,769.0,4.005208333333333,50.0,192
55,富山県,769.0,7.69,37.0,100
65,和歌山県,729.0,6.075,45.0,120
64,奈良県,696.0,11.6,51.0,60
32,秋田県,657.0,2.526923076923077,26.0,260
33,岩手県,637.0,1.8096590909090908,21.0,352
71,徳島県,591.0,7.296296296296297,49.0,81
56,石川県,525.0,4.7727272727272725,27.0,110
34,宮城県,490.0,2.355769230769231,17.0,208
46,神奈川県,290.0,5.8,28.0,50
17,網走・北見・紋別地方,228.0,1.0363636363636364,9.0,220
20,十勝地方,214.0,1.1263157894736842,7.0,190
31,青森県,166.0,0.7217391304347827,16.0,230
12,上川地方,135.0,0.5869565217391305,10.0,230
91,沖縄県,97.0,0.3660377358490566,8.0,265
15,空知地方,56.0,0.5384615384615384,6.0,104
14,石狩地方,30.0,0.3,3.0,100
13,留萌地方,18.0,0.2,10.0,90
19,釧路地方,16.0,0.13333333333333333,2.0,120
18,根室地方,15.0,0.16666666666666666,2.0,90
22,日高地方,9.0,0.1125,3.0,80
11,宗谷地方,6.0,0.046153846153846156,3.0,130
16,後志地方,4.0,0.03636363636363636,1.0,110
24,檜山地方,1.0,0.016666666666666666,1.0,60
23,渡島地方,1.0,0.01,1.0,100
21,胆振地方,0.0,0.0,0.0,110
99,南極,0.0,0.0,0.0,10
